LCP2,CBL
LCP2,GRB2
LCP2,ITK
LCP2,WAS
LCP2,VAV1
LCP2,LYN
LCP2,BLNK
LCP2,RABIF
LCP2,LAT
LCP2,CD6
LCP2,FYN
LCP2,TEC
LCP2,SKAP1
LCP2,PLCG1
LCP2,FYB1
LCP2,NCK2
LCP2,SHC1
LCP2,VAV3
LCP2,SOS1
LCP2,NCK1
LCP2,BTK
LCP2,GRAP2
LCP2,PLCG2
LCP2,ZAP70
LCP2,TYROBP
LCP2,SYK
LCP2,SRC
LCP2,VAV2
LCP2,MAP4K1
LCP2,RANGAP1
LCP2,LCK
DCN,FGF17
DCN,TNF
DCN,FGF16
DCN,YBX3
DCN,FGF8
DCN,TGFB2
DCN,HGF
DCN,FGF4
DCN,LUM
DCN,ERBB3
DCN,P3H3
DCN,TLR2
DCN,BGN
DCN,EGFR
DCN,FGF9
DCN,RETN
DCN,KDR
DCN,MET
DCN,ELN
DCN,MFAP2
DCN,ACAN
DCN,EGF
DCN,MSTN
DCN,FGF22
DCN,TGFB1
DCN,FGF6
DCN,FGF18
DCN,FGF5
DCN,FGF3
DCN,TLR4
DCN,FN1
DCN,LRP1
DCN,CCN2
DCN,ERBB4
DCN,VCAN
DCN,FGF10
DCN,SDC1
DCN,SFTPD
DCN,FMOD
DCN,HSPG2
DCN,YBX1
DCN,COL14A1
DCN,FGF7
DCN,ERBB2
DCN,FGF20
DCN,RETNLB
DCN,IGF1
DCN,VTN
TNFRSF17,TNFSF13B
TNFRSF17,CD40LG
TNFRSF17,TNFSF13
MRPS10,MRPL15
MRPS10,MRPL20
MRPS10,MCAT
MRPS10,GFM1
MRPS10,MRPL36
MRPS10,MRPL40
MRPS10,MRRF
MRPS10,MRPS16
MRPS10,ENSG00000249773
MRPS10,MRPS18C
MRPS10,MRPL23
MRPS10,MRPL38
MRPS10,MRPL37
MRPS10,MRPL2
MRPS10,MRPS25
MRPS10,MRPL43
MRPS10,MRPS31
MRPS10,MRPL27
MRPS10,TFB1M
MRPS10,MRPL42
MRPS10,MTIF3
MRPS10,MRPS2
MRPS10,METTL17
MRPS10,MRPS34
MRPS10,MRPS23
MRPS10,MRPL35
MRPS10,MRPL16
MRPS10,MRPL48
MRPS10,MRPS15
MRPS10,MRPL33
MRPS10,NOA1
MRPS10,AURKAIP1
MRPS10,MRPL21
MRPS10,MRPS35
MRPS10,MRPL1
MRPS10,MRPL47
MRPS10,MRPS11
MRPS10,MRPL51
MRPS10,MRPL30
MRPS10,MRPS18B
MRPS10,MRPS6
MRPS10,MRPL28
MRPS10,MRPL24
MRPS10,MRPS28
MRPS10,MRPL10
MRPS10,MRPS33
MRPS10,MRPL11
MRPS10,HIBCH
MRPS10,MRPL53
MRPS10,MRPS9
MRPS10,MRPL44
MRPS10,METTL15
MRPS10,TUFM
MRPS10,GADD45GIP1
MRPS10,MRPS30
MRPS10,MRPL52
MRPS10,RBFA
MRPS10,MRPL58
MRPS10,MRPL9
MRPS10,MRPL34
MRPS10,MRPS5
MRPS10,MRPL3
MRPS10,OXA1L
MRPS10,MRPL13
MRPS10,MRPS18A
MRPS10,MRPS36
MRPS10,MRPL41
MRPS10,MRPS14
MRPS10,MRPL22
MRPS10,MRPL57
MRPS10,MRPL54
MRPS10,DAP3
MRPS10,MRPL19
MRPS10,MRPL14
MRPS10,MRPS26
MRPS10,MRPS12
MRPS10,MRPS17
MRPS10,MRPL18
MRPS10,MRPL45
MRPS10,MRPL39
MRPS10,MRPL32
MRPS10,MRPS24
MRPS10,MRPS21
MRPS10,MRPL4
MRPS10,MRPL55
MRPS10,MRPS22
MRPS10,MRPL50
MRPS10,FAU
MRPS10,MRPL46
MRPS10,MRPL17
MRPS10,MRPL12
MRPS10,MRPS27
MRPS10,PTCD3
MRPS10,MRPS7
MRPS10,CHCHD1
MRPS10,MRPL49
MRPS10,MTIF2
MRPS10,ERAL1
GUCA1A,GUCA1C
GUCA1A,GUCA1B
GRN,SORT1
GRN,HSPG2
VAMP3,CD9
VAMP3,SNAP47
VAMP3,NAPB
VAMP3,SNAP29
VAMP3,STX3
VAMP3,STX1A
VAMP3,STX17
VAMP3,VAMP1
VAMP3,STX16
VAMP3,BNIP1
VAMP3,VAMP7
VAMP3,SNX4
VAMP3,CPLX1
VAMP3,STX19
VAMP3,VAMP2
VAMP3,VAMP8
VAMP3,NSF
VAMP3,CPLX2
VAMP3,GOSR2
VAMP3,STX12
VAMP3,STX6
VAMP3,STX4
VAMP3,VTI1B
VAMP3,RABEPK
VAMP3,STX11
VAMP3,SNAP25
VAMP3,STX10
VAMP3,SYT1
VAMP3,STX8
VAMP3,STX2
VAMP3,ENSG00000263620
VAMP3,PLIN3
VAMP3,NAPA
VAMP3,SNAP23
VAMP3,STX7
VAMP3,STX1B
VAMP3,VTI1A
UTS2,UTS2R
RCN1,ZWINT
RFC2,CHTF8
RFC2,RAD1
RFC2,ATAD5
RFC2,RAD17
RFC2,RFC4
RFC2,RAD9A
RFC2,RPA1
RFC2,HUS1
RFC2,PCNA
RFC2,BRCA1
RFC2,DSCC1
RFC2,RFC3
RFC2,RFC1
RFC2,RFC5
RFC2,CHTF18
PPP1R3F,PPP1R3D
PPP1R3F,PPP1CC
PPP1R3F,PPP1R3E
PPP1R3F,PPP1CB
PPP1R3F,PPP1CA
PPP1R3F,PPP1R3C
PPP1R3F,PPP1R3B
PPP1R3F,PPP1R3A
NFE2L3,MAFG
