method,metacells,n,auroc,k,dataset,user_time_seconds
GRNBOOST2,KMeans,765,0.743170070693327,10,kim23-hm1_STRING12_K-10-MEANS1000TFs,4851.87
GRNBOOST2,SEACells,765,0.745780747332702,10,kim23-hm1_STRING12_SEACells-n-765-1000TFs-_hvgs1000,5598.8
GENIE3,SEACells,765,0.7831113859052612,10,kim23-hm1_STRING12_SEACells-n-765-1000TFs-_hvgs1000,20745.29
PIDC,SEACells,765,0.7776343588184325,10,kim23-hm1_STRING12_SEACells-n-765-1000TFs-_hvgs1000,624.6
GENIE3,KMeans,765,0.7779883337992609,10,kim23-hm1_STRING12_K-10-MEANS1000TFs,19988.37
GENIE3,KMeans,1530,0.7699435124712787,5,kim23-hm1_STRING12_K-5-MEANS1000TFs,33018.09
GRNBOOST2,KMeans,1530,0.7392193001681936,5,kim23-hm1_STRING12_K-5-MEANS1000TFs,7069.83
PIDC,KMeans,1530,0.778369228612513,5,kim23-hm1_STRING12_K-5-MEANS1000TFs,828.41
GENIE3,SEACells,1530,0.7803650868725976,5,kim23-hm1_STRING12_SEACells-n-1530-1000TFs-_hvgs1000,34667.78
GRNBOOST2,SEACells,1530,0.7515690767525653,5,kim23-hm1_STRING12_SEACells-n-1530-1000TFs-_hvgs1000,8836.43
PIDC,SEACells,1530,0.7794428254086314,5,kim23-hm1_STRING12_SEACells-n-1530-1000TFs-_hvgs1000,601.69
GRNBOOST2,KMeans,2550,0.7431153836527044,3,kim23-hm1_STRING12_K-3-MEANS1000TFs,9982.24
GENIE3,KMeans,2550,0.7645831289529422,3,kim23-hm1_STRING12_K-3-MEANS1000TFs,50916.98
GENIE3,SEACells,2550,0.7748283798076905,3,kim23-hm1_STRING12_SEACells-n-2550-1000TFs-_hvgs1000,53100.51
GRNBOOST2,SEACells,2550,0.7464675962418542,3,kim23-hm1_STRING12_SEACells-n-2550-1000TFs-_hvgs1000,12029.85
PIDC,SEACells,2550,0.7805265763585217,3,kim23-hm1_STRING12_SEACells-n-2550-1000TFs-_hvgs1000,832.96
PIDC,KMeans,2550,0.775227112977635,3,kim23-hm1_STRING12_K-3-MEANS1000TFs,858.4
